source,target
"Please come in, doctor. Come in.",اتفضل، اتفضل يا دكتور، اتفضل.
I need an anticonvulsant and a calmant.,أنا عايز anticonvulsant ومهدئ
I also need to get blood samples. ,وهحتاج آخد عينات دم.
"You paying me a visit is a beautiful gesture, doctor. Especially tonight.  ",زيارتك ليا يا دكتور حاجة عظيمة جدا، خصوصا الليلة دي.
You gave me hope that I’ll be discharged soon.,عارف؟ عاطتي أمل كده إني ممكن يفرج عني قريب.
It’s been a while since I complained about my dispatch here. ,أنا بقالي كتير بقدم تظلم علشان هم بعتوني هنا.
I need to be in Cairo to complete my master’s.,وأنا عايز أبقى في القاهرة علشان أعمل الماجستي 
I conducted detailed research regarding the relationship between dreams and schizophrenia.,عارف حضرتك، أنا عامل بحث مفصل عن علاقة الأحلام بالفصام
"Excuse me, I’m a bit in a hurry.",معلش، معلش، لأن أنا مستعجل.
"Are these medicines for your brother, Dr. Refaat?",هي الأدوية دي لأخو حضرتك يا دكتور رفعت؟
I examined him previously.,أنا روحت كشفت عليه.
There’s nothing wrong with his body. ,هو مافيهوش أي حاجة عضوية
He was summoned by the naiad.,هو ندهته النداهة
It seems that an endorsement would be a mistake,لا، ده احنا كده ظلمنا الواسطة
Am I in the Health Unit or elsewhere?,هو أنا هنا في الوحدة الصحية ولا أنا فين بالضبط؟
Okay. Can I show you something?,طيب، ممكن بس أوري حضرتك حاجة؟
This is the register. ,ده السجل 
I collected all the victims that were summoned by the naiad. ,أنا مجمع فيه كل البيانات عن الضحايا اللي اتندهوا قبل كده.
Those who were summoned were faced with some hallucinations. ,كل اللي اتندهوا بيتجي لهم حالات أشبه بالهذيان
They all said they heard a lady calling upon them.,بيقولوا إنهم بيسمعوا صوت واحدة ست بتناديهم.
"I don’t need a register, doctor. ",يا دكتور أنا مش عايز سجلات.
I only need what I have requested from you. ,أنا عايز الطلبات اللي قلتلك عليها.
"At first, I didn’t believe it either. ",أنا برضو ماكنتش مصدق زي حضرتك كده.
But look,بس بص
These pictures in front of you resemble the victims according to their IDs.,الرسوم اللي قدام حضرتك دي هي شبه صور الضحايا في البطايق بتاعتهم.
"Unfortunately, nobody knows anything about the first cases of disappearances. ",للأسف، حالات الاختفاء الأولى محدش هنا يعرف عنها أي شيء
"There were no photos, criminal records, ",لا في صور، ولا فيه سجل جنائي
No witnesses.,ولا  فيه شهود
What they have in common is that they are all men. ,بس كل المشترك مابينهم إنهم كلهم رجالة
All right. ,طيب 
This is great. ,ده شيء عظيم
May I have the medicine and the syringe before leaving?,ممكن الأدوية والسرنجات علشان لازم أمشي
They say the naiad is an ogre.,بيقولا النداهة غولة
An ogre disguised as a woman. ,غولة ومتنكرة في شكل بنت
The most beautiful woman you could ever lay your eyes on.,أجمل بنت ممكن تشوفها في حياتك
"If you head towards the bank, she will summon you.",لو روحت ناحية المصرف بالذات بتنده عليك
She first summons you with her soft voice. ,الندهة الأولى بتبقى عبد لصوتها الرقيق
She lures you towards her in hopes of seeing her. ,بتسهم وتسرح على أمل إنك تشوفها
"Upon the second time she summons you, you will become agitated.",أما الندهة التانية، فدي بقا مرحلة الهياج
The third summoning makes you speak incomprehensible words. ,أما الندهة التالتة، فبتخليك تهلفط كده بالكلام
"Then, nothing could stand in the way of you following her endlessly. ",وبعدها محدش يقدر يقف في طريق إنك تمشي وراها لحد النهاية.
And what is this?,وإيه ده؟
This?,ده؟ 
This is what you asked for. ,ده اللي حضرتك طلبته
All of this?,كل ده؟
Not only this. I also brought a sedative,لا، وجيبت معايا كمان فينوباريتول
to treat the agitation your brother is experiencing. ,علشان خاطر الهياج اللي موجود عند أخو حضرتك
And a few injections for the sake of precautions,وكمان كام حقنة كده لزوم الاحتياط
"If the naiad summons one of us, another one will follow.",أهو ، لو النداهة طلعت لحد فينا، التاني يلحقه
What’s going on?,في إيه؟
He left the village when the demon summoned him.,فات البلد لما الغولة نادتله
He’s been kidnapped. ,قالوا الولد مخطوف
What’s going on?,إيه ده؟
Nagat brought him to cure Reda.,نجاة جابت الراجل ده علشان يعالج رضا
"Get out, you ignorant riffraff. ",برة
Forgive him. ,سامحوه
This is what I get for helping him?,ده جزاتي إني عايز ألحق أخوك؟
Don’t be agitated like this. ,اهدى
I don’t want crooks here.,مش عايز نصابين في بيتي
"If I see you here again, I’ll call the police. ",لو شوفتك هنا تاني هأطلبلك المديرية
"Enough, Refaat.",خلاص يا رفعت
This is how you thank me for helping you and your brother?,الحق عليا. ده جزاتي إني عايز ألحقك وألحق أخوك
Show me what you’ll do. ,وريني بقا هتعمل إيه
He’s a man of God. ,ده دي ولي من أولياء الله الصالحين 
He can save your brother before it’s too late.,هيلحق أخوك قبل ما يروح
"Stop it, woman!",بس، بس يا ست. 
They’re crooks.,دول نصابين.
"That’s enough, doctor. ",بس كفاية كده يا دكتور 
Stop insulting him.,واتكلم عنه كويس 
He’s an older man. ,إكمنه راجل كبير تستقوى وتستعفى عليه؟
"Apologies, Sheikh Salah",خلاص يا شيخ صلاح، حقك علينا
Enough everyone. Go about your business. ,خلاص يا جماعة فضوها سيرة، كل واحد يشوف حاله
Do you know what the only solution is?,أنتم عارفين الحل إيه؟
"The iron rod. Either that, or he’ll vanish just like others.",السيخ وإلا هيروح زي اللي راحوا
Enough! Go inside. ,خلاص، خلاص
What’s this?,إيه ده؟
I’ll go to the city hospital to have these samples tested.  ,طيب أنا هأروح على المستشفى اللي في المركز أحلل العينة دي.
"No, I need you to stay here.",لا أنا عايزك هنا
"Take this, Rafeea. ",امسكي يا رئيفة. 
You and Talaat will go to Cairo.,هتروحي على مصر أنت وطلعت
Go to my department and ask for Dr. Sami.,هتروحي الكلية عندي تسألي عن دكتور اسمه دكتور سامي
Dr. Sami,دكتور سامي
Yes. ,أيوه
He’ll run the tests himself. ,يحللها بنفسه
"I don’t get it, doctor. ",أنا برضو مش فاهم يا دكتور.
Why did he go to the canal?,يعني هو كام لازم يروح عند المصرف؟
"You need help getting transferred, correct?",أنت كنت عايز وسطة علشان تتنقل مش كده؟
I wish. ,ياريت 
I’d be very grateful. ,أكون شاكر جدا
"Of course. With your expertise, I’ll write a recommendation letter to transfer you to Sallum.",لا بسيطة بمعلوماتك الطبية دي أنا هكتبلك توصية تنقل السلوم
"Get moving, Raeefa. ",اتحركي أنت يا رئيفة. 
Call me once the results are out. ,النتيجة تطلع تبلغيني
How can I call you?,طب هبلغكوا ازاي؟
Don’t worry. ,ماتقلقيش
From the clinic’s phone,هناخد رقم الوحدة الصحية من الدكتور
Nagat gave me this gown.,نجاة اديتني الجلبية دي.
Does it look good on me?,حلوة عليا؟
Now I know why people respond to the naiad’s summons.,أنا دلوقتي فهمت ليه الناس بتلبي نداء النداهة
Has she been like this for long?,هي كده من زمان؟
I’ll find a car to take you back to Cairo tomorrow morning. ,الصبح هتصرف وألاقي عربية علشان ترجعك القاهرة
It’s not ethical for me to leave you halfway and return. ,لا أعتقد إن من الذوق والأخلاق إن أسيبك في نص الطريق وأمشي
Maybe I can help.,يمكن أقدر أساعدك
Help? By allowing them to bring a crook to save my brother?,تساعدي، تساعدي بإنك تسيبيهم يدخلوا دجال على أخويا؟
"I’m here as a guest, Refaat, and it is an adamant time.",أنا هنا ضيفة يا رفعت، ضيفة في وقت صعب. 
I have no say in who enters the house and who doesn’t.,مش أقدر أقبل أو أرفض دخول الناس
What if that guy could help?,وافترض الراجل ده ساعده؟
"So, now we’re going to believe any crooks we come across?",اه، احنا خلاص هنصدق بقا أي دجال نشوفه؟
Why is all of this happening?,ليه كل ده بيحصل؟
"The pharaoh, the custodian, and now a naiad",فرعون وعساس ودلوقتي النداهة
"You mean, you also think that I’m",قصدك، قصدك أنت كمان إن أنا إيه؟
cursed? Bewitched? Possessed?,عليا لعنة؟ مسحور؟ ممسوس؟
Some paranormal power is trying to prove that I know nothing?,في قوى من ما وراء الطبيعة عايزة تثبتلي إني حمار وبهيم؟
I can never accept this.,أنا لا يمكن أسلم بكده
"In a time of need, I trusted a bunch of charlatans, but that doesn’t mean I should let go of science.",مش معنى إن أنا في لحظة ضعف تضطريت أمشي ورا شوية مخابيل، يبقى أرمي العلم في الزبالة
"As for the naiad, I bet that the sheik is behind it, and his female helper is the naiad. ",وحكاية النداهة دي أقطع دراعي إن وراها الشيخ الدجال والبنت اللي معاه هي اللي بتنده
"That wannabe doctor who records the names of those summoned is also helping them, like an accomplice.",أكيد الواد اللي في الوحدة اللي عامل دكتور وقاعد ياخد أسامي كل اللي بيتندهوا في دفاتر ده بيساعدهم.
They drug their victims. ,أكيد شركا وبيخدروا الضحايا بتوعهم
I’ll prove this to everyone. ,وأنا هثبت ده للناس كلها
To everyone or to yourself?,للناس ولا لنفسك؟
Both,الاتنين
Did you inform the villagers?,قولت لأهل البلد؟
I told a small child and insisted that it remains a secret. ,قولت لعيل صغير وقولت له إن ده سر
Give him half an hour before he starts spreading the news,نص ساعة بالكتير  ومش بعيد تلاقي الراديو بيذيع الخبر. 
The villagers might follow us because the naiad appeared to them. ,وهو يمكن أهل البلد يلحقونا لو النداهة طلعت لنا.
And the skewer that the charlatan mentioned?,وإيه موضوع السيخ اللي كان الدجال بيقول عليه ده؟
He treats people this way. ,هو بيعالج الناس كده
He penetrates their ears with a heated skewer.,بيخرم ودانهم بسيخ حامي ومتسخن
Did that scumbag intend to hurt my brother?,كان عايز يعمل عاهة لأخويا ابن الهرمة 
Is that going to protect them?,هو ده اللي حيحميهم يعني؟
Is that where they say the naiad summons people?,مش دي الحتة اللي بيقولوا النداهة بتنده فيها الناس
We’ll wait. ,نستنى. 
"If she summons us, we’ll capture her.",لو ندهت هنمسكها.
"If no one summons us, we’ll prove the story is fictitious. ",لو محدش نده هنثبت للناس إن كل الحكاية وهم.
Let’s see. ,خلينا نشوف
He may be thinking we’re on a trip. ,فاكرنا طالعين رحلة؟
Keep an eye on him.,راقبيه كويس
I didn’t hear a thing.,أنا ماسمعتش حاجة.
"I did, and there was movement.",بأقولكوا سمعت. اتحرك يا كمال
I can’t see a thing.,أنا مش شايف أي حاجة
"Look, he’s starting to regain consciousness. ",أهوه ابتدى يفوق
What a disaster!,يا مصيبة سودة يا ولاد! 
All the men in the family are doomed!,رجالة العيلة كلها راحت!
And we brought him to help us!,جيبتك يا عبد المعين تعيني
I say we bring Sheikh Salah.,جماعة، أنا رأيي إن احنا نروح نجيب الشيخ صلاح
"I did my best, and I’m out of ideas. ",أنا عملت كل اللي أقدر عليه ومبقاش عندي حاجة تانية أعملها. 
"No, let’s go to the clinic and see what medications you have. ",لأ، تعالى نروح العيادة علشان أشوف الأدوية اللي عندك
Maybe we’ll find something helpful.,يمكن في حاجة تساعد رفعت
"Okay, it’s better if you stay here. I’ll bring the medications.",طيب، الأفضل إن حضرتك تستني هنا وأنا أروح أجيبهم وآجي
"No, I’m coming with you. ",لا، هاجي معاك
Nobody’s answering. ,محدش بيرد
Go ahead. All the medicines are here. ,اتفضلي يا دكتورة، الأدوية كلها هنا
"Would you prepare some tea, please?",ممكن شاي من فضلك؟
"What are you searching for, doctor?",هو حضرتك بتدوري على إيه يا دكتورة؟
 Who is this? Where’s the doctor? ,مين؟ فين الدكتور؟
I’m here.,ماجي معاكي
You can disclose the results to me. ,ممكن تقولي لي أنا النتيجة
The doctors are saying all the results are promising. Thank God. ,الدكاترة هنا بيقولوا الحمد الله التحاليل كويسة
But it’ll take some time before the doctor writes the report. ,بس بيقولوا حتاخد وقت عقبال ما الدكتور يكتب التقارير
I’ll stay here to collect it and show it to Refaat. ,أنا هأفضل هنا لحد ما أخدها بإيدي وأجي عشان رفعت يبص عليها
Good,كويس
I have some bad news.,أنا عندي خبر مش حلو
"Why are you sitting here, Taha?",أنت إيه اللي مقعدك هنا يا طه؟
Did you see her too?,هو أنت كمان شوفتيها؟
See who?,مين دي اللي شوفتها؟
I didn’t see anyone.,يا حبيبي أنا ماشوفتش حد
What does she want from Uncle Refaat?,هي عايزة إيه من خالو رفعت؟
Is it because he refuses to play with her?,كل ده علشان مابيلعبش معاها؟
I’m really worried about him. ,أنا خايف أوي على خالو
She won’t leave him alone. ,العفريتة دي مش هتسيبه
Don’t worry. ,لأ، ماتخفش على خالو
Your uncle is a grown-up and knows how to handle himself.,خالو كبير وأكيد هيعرف يتصرف
"Hello? Yes, Raeefa?",ألو، أيوة يا أبلة
How is your mother?,طمنيني على ستي
What? Refaat and Reda?,إيه؟ رفعت ورضا؟
"This is the end, my brother. ",هي دي النهاية يا ابن أمي
There’s no end. ,مفيش نهاية
There’s no naiad.,مفيش نداهة
The gypsy girl is the one summoning,البت الغجرية هي اللي بتنده
Enough of your stubbornness! ,بلاش عند 
You have to believe it. ,صدق، صدق
I’m not ignorant to believe this. ,أنا مش جاهل علشان أصدق الكلام ده
Ignorant?,جاهل؟
Not ignorant like this one. ,مش جاهل زينا؟
Not ignorant like me?,مش جاهل زيي؟
Damn the hand that dug the earth for you to go to schools. ,يلعن أبو اليد اللي اتشققت في الأرض علشان أنت تروح مدارس
"And in the end, you call me ignorant?",في الآخر تقولي جاهل
I have a limp because I had to catch you when you fell. ,أنا عرجت علشان أنت تقع من فوق تلاقي حد يسندك
I worked in the fields.,أنا اشتغل في الغيط
So you can go to school. ,وأنت تروح المدارس
And now you call me ignorant?,وتقول عليا جاهل؟
Do you remember Refaat?,فاكر يا رفعت؟
Remember the crops that you set on fire? ,فاكر الجرن اللي أنت حرقته؟ 
I was punished on your behalf.,وأنا اتلسوعت بالخرزانة بدالك
Because you couldn’t handle another whipping from Dad’s bamboo stick. ,علشان أنت ماكنتش تقدر تستحمل خرزانة واحدة من عصاية أبوك 
Remember?,فاكر؟
I fell unintentionally. ,أنا وقعت من البيت غصب عني
And I’ve been saying for 30 years that I didn’t burn your crops.,وبقالي 30 سنة بأحلف لك إني ماحرقتش حاجة
Dad made you work in the field because you were the strongest. ,وأبوك نزلك الغيط علشان خاطر كنت أنت القوي
You were always healthy.,اللي صحتك حلوة
And I was the weak one who only loved to study. ,وأنا الضعيف اللي مالوش غير في العلام
"Dad only loved you, Reda. ",أبويا كان بيحبك أنت بس يا رضا
That’s what you tell yourself so that you won’t feel guilty. ,ده الكلام اللي بتقوله لروحك علشان ترتاح
"No, Reda. ",لا يا رضا
It’s the truth. ,ده الحق
I’m Dad’s failed project. ,أنا مشروع أبويا الفاشل
But what made it easier for me after Dad died was that you became like a father to me. ,بس اللي عوضني إن بعد ما أبويا ما مات،  بقيت أنت ليا أب يا رضا
"You’re the only one I have, Reda. ",أنا ماليش غيرك يا رضا
"Anyway, I have to untie myself.",المهم، أنا لازم أتفك
I know how to get rid of that naiad.,أنا عارف أخلص من النداهة دي إزايس
"What’re you doing with that skewer, Nagat?",بتعملي إيه بالسيخ ده يا نجاة؟
"I know what I should do now, doctor. ",خلاص يا دكتور، أنا عارفة أنا هأعمل إيه
I’ll punch it through his ear Sheikh Salah said.,هأخرم له ودنه زي الشيخ صلاح ما قال
Have you gone made?,تخرمي إيه يا مجنونة؟
"Oh, no! What’s going on? ",ايه ده؟ ايه ده؟ 
Insert it in my ear. I’m doomed. ,أنا، أخرمي، أنا هأروح، هأروح
She’s summoning me for the third time. ,دي الندهة التالتة. 
She’s summoning me for the third time. ,دي النادهة التالتة.
Insert it in my ear.,أنت هتخرمي لي ودني أنا 
I can’t take it!,مش قادر 
I can’t take it!,مش قادر
Insert it in my ear first. I can’t take it. ,أخرمي ودني أنا الأول. مش قادر.
"What’s wrong, doctor?",إيه يا دكتور؟
"Let me go, doctor.",سيبني يا دكتور
"Give me half an hour, and I’ll fix everything. ",أديني نص ساعة وأرجع لك بحل
I saw the girl with my own eyes. ,أنا شوفت البت بعيني. 
I know who’s playing the naiad.,أنا عرفت مين اللي بتنده
Give me half an hour. ,نص ساعة! نص ساعة بس!
"Please, doctor! Untie me, for Reda’s sake. ",والنبي يا دكتور، يا دكتور. سيبني عشان رضا يا دكتور
"Ma’am, you don’t know who Dr. Refaat is to me. ",حضرتك ما تعرفيش دكتور رفعت إيه بالنسبة لي
"All the students feared him, but I liked him a lot. ",كل الطلبة كانوا بيخافوا منه بس أنا كنت بحبه جدا
I always thought that he only acted tough. Behind that act was a kind heart. ,كنت دايما بشوف إن دي وجهة خشب مخبية وراها قلب طيب
The victim’s booklet. ,دفتر الضحايا
Refaat said you had it. ,رفعت قال إن هو معاك
May I take a look?,ممكن أشوفه؟
What’s this?,ايه ده؟
You crook.,أنت نصاب.
You make that girl summon men. ,بتخلي البت اللي معاك هي اللي تنده الناس. 
I saw her. ,أنا شوفتها
Admit it. ,اعترف
You’re assaulting me in my house.,أنت كمان جاي تتهجم عليا في داري؟
You summoned me. ,أنت اللي ندهتي لي. 
I won’t be tricked by the way you dress. ,أنا مش خاممني لبسك ده. 
I saw you. ,أنا شوفتك بعيني
"Get out of my house, or I’ll shoot you in the head. ",أطلع برة داري بدل ما افرتك المسدس ده في دماغك
I called the police. It’s about to arrive. ,أنا بلغت المديرية وزمانهم على وصول
You won’t get away with this. ,مش هتلحق تفلت 
"Admit it, girl. ",اعترفي يا بت
"You’re the one who summons, right?",أنت اللي بتندهي صح
He makes you do it?,هو اللي مشغلك
Don’t be scared. ,ماتخافيش
I’ll protect you from him. ,أنا هأحميكي منه
How could she summon it?,تنده إزاي
She’s mute. ,دي خرسة
She has no tongue. ,يعني ما عندهاش لسان
Get out before I shoot you in the head. ,إطلع برة داري بدل ما أفرتك المسدس ده في دماغك، إطلع!
Refaat suspects the naiad to be the gypsy woman.,رفعت كان شاكك إن النداهة هي البنت الغجرية
Of course not. No way.,لأ طبعا مستحيل
She’s mute. ,البنت خرسة. 
She’s the daughter of Sheikh Salah.,دي تبقى بنت الشيخ صلاح
I used to treat her myself after a bunch of gangsters cut her tongue. ,وأنا اللي كنت بأعالجها بنفسي وقت ما شوية قطاع طرق قطعولها لسانها
I have the complete file of her case. ,أنا عندي ملف كامل بالحالة بتاعتها
Here it is.,أهوه
Her name is Samah Salah.,اسمها سماح صلاح 
What’s wrong?,في إيه؟
Her name is Samah Salah Al Tokhi,اسمها سماح صلاح الطوخي
It’s the same as Tayseer’s surname. ,ده نفس اسم تيسيير
I had no idea that Sheikh Salah’s surname was Salah Al Tokhi and that his son was summoned.,أنا ماكنتش أعرف إن الشيخ صلاح اسمه صلاح الطوخي وإن عنده ابن اتنده برضو
They both have the same birth date. ,ده كمان الاتنين عندهم نفس تاريخ الميلاد
"Obviously, Taysee is Samah’s twin brother.",واضح إن تيسيير ده يبقى أخو سماح التوأم
Or sister.,أو اختها
Please untie me.,فكني. أبوس إيدك فكني
What’re you doing?,أنت بتعملي ايه؟
"Help me, please.",انجدني أنا في عرضك.
What’re you doing?,أنت بتعملي إيه؟
I’ll tell him.,هقول، هقول. حاضر
Tell me what?,هتقول إيه؟
I raped Sheikh Salah’s daughter years ago.,أنا اغتصبت بنت الشيخ صلاح من سنين
His daughter? ,بنته؟ 
Which daughter?,بنته مين؟
This girl’s twin. ,توأمة البت دي
But I swear I didn’t kill her.,بس والله العظيم ما أنا اللي قتلتها. 
But I swear I didn’t kill her.,والله العظيم ما أنا اللي قتلتها
Her father killed her as she tried to escape. ,أبوها هو اللي دبحها وهي بتهرب
"She was running away, bleeding, screaming for help. No one heard her.",كانت مدبوحة وقاعدة تجري بتصوت علشان حد يسمعها بس محدش سمعها
"Since then, her ghost’s been calling men’s names.",من ساعتها وشبحها بينده
Their father cut this one’s tongue.,أبوها هو اللي قطع لسان البت دي
"I hear her voice all the time, and it’s killing me. ",وأنا قاعد هنا باسمع في صوتها طول الوقت بيقطع فيا
Answering her summons and dying is less painful than all this torment.,أنا أرحم لي أروح لشبحها وأموت أهون عليا من العذاب ده كله.
There are no ghosts.,مفيش أشباح. 
There are no ghosts.,مفيش أشباح
You’re all crooks.,كلكم نصابين
"Nagat, what happened?s",نجاة، إيه اللي حصل؟
"Untie me, Howaida.",فكيني يا ست هويدا
Untie me.,فيكيني
"Nagat, wake up!",نجاة، فوقي!
Where’s Refaat?,هو رفعت فين؟
Isn’t he inside?,هو مش جوة؟
Dr. Refaat,دكتور رفعت!
Where’s Reda? ,رضا فين؟
What’s wrong? ,في إيه؟ 
Thank you.,سعيكم مشكور
"Stay strong, doctor.",شد حيلك يا دكتور
I wanted to tell you that Salah got arrested.,كنت عايز أقول لحضرتك إن البوليس قبض على صلاح.
His daughter reported him.,بنته بلغت غنه.
Send me your research. I want to read it so I can recommend you to the university to discuss it. ,ابقى هات لي البحث بتاعك أقراه علشان لو هوصي عليك تيجي تناقشه عندنا في الكلية
"Now’s not the time, doctor. ",مش وقته يا دكتور. احنا في إيه ولا في إيه.
Just do as I say. ,اسمع الكلام
Thank you very much. ,متشكر جدا لحضرتك.
May his soul rest in peace. ,البقية في حياتك!
Thank you. ,شكر الله سعيك!
"It’s the first time I see hope in what happened to you, Mom. ",أول مرة أشوف ميزة للي حصلك يا أمي.
I can’t imagine what would happen if you were aware of all of this,ماعرفش لو كنتي حاسة وفاهمة، كان حصلك إيه؟
Say goodbye to your uncle before he leaves.,سلموا على عمكم قبل ما يسافر
Do you need anything from me before I leave?,عايزين حاجة قبل ما أمشي؟
Everyone in the village says that I untied him. ,أنا سامعة البلد كلها بتقول إن أنا اللي فكيته 
I swear that I didn’t.,والخاتمة الشريفة أنا ما فكيته
I felt something pulling and dropping me.,أنا لقيت حاجة بتشيلني وتحطني
"After that, I couldn’t find him, like he just evaporated.",وبعدها مالقيتوش. كإنه فصل ملح وداب.
Ask Ms. Howaida,حتى أسأل الست هويدا
That was his fate.,ده قدره.
He already anticipated and accepted it.,هو كان حاسه وراضي بيه
Take care of the girls now. ,المهم أنت تاخدي بالك من البنات.
"From now on, consider me their father. ",وأنا من النهاردة أبوهم. 
I’ll visit every now and then. ,وهبقى أجي أزوركم كل شوية، هه؟
"We had a deal, right?",احنا اتفقنا صح؟
Should I bring you candies when I come?,كل ما أجي أجيب حاجة حلو.
You can ask for anything. Don’t be shy.,مانتكسفش
I love you.,أنا بأحبكم.
I have to go now.,طيب يا حبايبي. أنا ماشي.
"I’ll take good care of your daughters, Reda. ",بناتك في عينيا يا رضا
I’m sorry I broke your leg.,أنا آسف إني كنت السبب في كسر رجلك 
I’m sorry that I burned the crops when we were little. ,أنا آسف إني حرقت الغلة واحنا عيال
I lied because I was a selfish and cowardly person.,كنت بكذب علشان عندي وأناني
For you to appear wrong.,عشان ماتطلعش أنت صح
And for me not to be seen as the source of trouble,وأطلع أنا فعلا أس المشاكل زي ما بتقول
But I’m the source of trouble. ,أنا السبب. أنا أس المشاكل فعلا
The source of all troubles. ,أس المشاكل كلها يا رضا
I’m sorry.,أنا آسف
She has disappeared since Reda's funeral.,اختفت من ساعة عزا رضا
Was she who sent all those demons our way because we left her?,هل شيراز هي اللي طلعت كل الأشباح والمسوخ دي في طريقنا عشان سيبناها؟
Why now?,ليه دلوقتي؟
Why come back for revenge after all these years? ,ليه بعد كل السنين راجعة تنتقم؟
Does this mean Shiraz will target us one after the other?,هل ده معناه إن شيراز حتفضل ورانا واحد واحد؟
But why didn't she get back at me first?,طب ليه مانتقمتش مني أنا أول واحد؟
The most important question is: how can she be stopped?,الأهم من كل ده، إيه اللي هيوقفها؟
This is the High Priestess's card,الكاهنة الكبرى
This card symbolizes dreams. ,الورقة دي بترمز للأحلام
You might find what you want in your dreams,يمكن تلاقي اللي عايزه في أحلامك
Hold her tight!,امسكها كويس
Hold her!,اقفل! 
"Dr. Refaat, I don't know how to thank you. ",دكتور رفعت، أنا مش عارف أشكر حضرتك إزاي
"Thanks to your recommendation, my research was accepted by the academy",بسبب توصية حضرتك البحث بتاعي اتقبل هنا في الكلية
You're obviously pleased. ,واضح إنك سعيد فعلا
"You know, they said that research on dreams is not common here",عارف يا دكتور، قالولي إن البحوث في الأحلام هنا نادرة
They will provide whatever I need,وهيوفروا لي كل اللي أنا عايزه
Hold her!,اقفل! اقفل!
"Dr. Refaat, are you okay? ",دكتور رفعت، أنت كويس؟
Is it possible not to dream?,هو ممكن يكون في حد مابيحلمش؟
"Everyone dreams, doctor, but some don't remember their dreams",هو مافيش حد مابيحلمش يا دكتور، بس يعني جايز يكون مش بيفتكر أحلامه
Like the people of Atlantis. ,زي شعب اتلانتس
Who? ,مين؟
It seems like I really came to the right person. ,الظاهر أنا جيت للشخص المناسب فعلا
"Your thesis is on dreams, and you don't know the people of Atlantis?",ماجستيرك عن الأحلام ومش عارف شعب اتلانتس؟
The myth of the people who didn't dream. ,أسطورة الشعب اللي كانوا مابيحلموش
I hardly have time to study facts. Don't expect me to check myths.,يا دكتور هو أنا يعني لاحق أذاكر الواقع لما كمان هذاكر الأساطير
"If you want, I can tell you how to remember your dreams.",طب إيه رأي حضرتك في اللي يقولك على طريقة تخليك تفتكر أحلامك؟
"Listen, doctor.",شوف يا دكتور
Sleep every night at the same time and forget about the alarm,أنت تنام كل يوم في نفس المعاد وتنسى موضوع المنبه خالص
"Replace it with a notebook to write everything you remember upon waking up, especially when you wake up late at night. ",حط مكانه نوتة صغيرة أكتب فيها كل اللي تفتكره أول ما تصحى من النوم خصوصا لو صحيت فجأة في نص الليل 
This will help you remember,بكده هتفتكر أحلامك أحسن
I have a weird question for you,هسألك سؤال غريب
"Go ahead, doctor",اتفضل يا دكتور
Please humor me,بس خدني على قد عقلي
Is there a way to dream of someone specific?,هل في إمكانية إن أنا أحلم بشخص معين؟
Do you mean a living person?,حضرتك تقصد شخص عايش يعني؟
Does it make a difference?,هتفرق؟
Does it cost more for dead people?,يعني لو ميت، هدفع رسوم زيادة؟
"That's not what I meant, doctor, but ...",مش قصدي يا دكتور، بس يعني 
"There are methods, but they're not guaranteed",هو في طرق. هي مش أكيدة بس 
"As you know, it's psychological",حضرتك عارف إن الموضوع نفسي
"If you think of a person a lot for a long time before you sleep, you'll probably dream of them",يعني إنه لو مثلا حضرتك ركزت تفكيرك في الشخص ده لفترة طويلة قبل ما تنام مباشرة، احتمال كبير تحلم بيه
"Also, doctor, with the technique I told you about, with time, you will be able to decipher your dreams",كمان يا دكتور في التكنيك اللي قولت لحضرتك عليه ده مع الوقت هتقدر تفسر الرموز والإشارات اللي في أحلامك
When you compare the written-down dream with the next day's events,لما تقارن ما بين الحلم االلي لمكتوب وما بين الأحداث اللي حصلت في نفس اليوم
your conscious mind will understand your subconscious, بمعنى إن وعيك هيفهم لاوعيك 
"After that, you'll enter the phase of lucid dreaming that they call daydreams",بعدها مباشرة حتدخل مرحلة اللوسيد دريم وبيسموها يعني الأحلام الواعية
I know about lucid dreaming,أنا عارف اللوسيد دريم
Great!,عظيم جدا
"When you can decipher your subconscious, you can dream whatever you want and of whomever you want.",فبالتالي يا دكتور لما تبقى قادر تفك شفرة لاوعيك هتقدر وبكل بساطة تحلم باللي أنت عايز تحلم بيه وبالناس اللي عايز تشوفهم وبال
"Thank you, Kamal. ",شكرا يا كمال
Dr. Refaat!,دكتور رفعت
You're committing suicide.,أنت بتنتحر
Your tests are like those of a 70-year-old,التحاليل والفحوصات اللي قدامي دي بتاعت واحد عنده 70 سنة
"You survived this time, but you won't be able to handle another heart attack next time.",المرة دي عدت بستر ربنا، لكن أنت مش في حمل أزمة قلبية بجد
Here you go. ,اتفضل
Take these pills whenever needed.,الحباية دي تلازمك طول الوقت
It's nitroglycerin. ,ده نيتروجليسرين
Place one pill under your tongue whenever needed,حباية تحت اللسان عند اللزوم
"You have blood pressure and heart problems,",أنت مريض ضغط وقلب يا دكتور 
and one more cigarette means death.,أنت على مسافة سيجارة واحدة من الموت
Is that a warning or a cigarette ad?,ده تحذير ولا دعاية للسجاير؟
"Refaat, why weren't you answering your phone?",رفعت، أنت مابتردش على التليفون ليه؟
Sorry. ,معلش
I was busy. ,كنت مشغول
Busy? ,مشغول؟
Take these. ,طب خد
Howaida sent them to you.,هويدا باعتالك دول
